ID;Character;FR;EN;Sound;Anim;Player Choice ?;Timer ? (en sec);;;;;;;;;;;;;;
PLAYER;Player;Je serai l'arbitre.;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Attention à ne pas abimer mon comptoir !;;;;;;;;;;;;;;;;;;;
MED_HAUGHTY;Medhiv;Celui qui l'emporte sera définitivement le plus résistant du groupe !;;;;;;;;;;;;;;;;;;;
DIY_HYPE;Diya;Je vais te montrer à quel point tu es faible !;;;;;;;;;;;;;;;;;;;
SYR_WORRIED;Syrdon;Je suppose que je n'ai pas le choix...;;;;;;;;;;;;;;;;;;;
MED_DRINK;Player;*15 verres d'hydromel plus tard*;;;;;;;;;;;;;;;;;;;
MED_DRUNK;Medhiv;Alors Diya, on abandonne ? *hic*;;;;;;;;;;;;;;;;;;;
DIY_DRUNK;Diya;Dans tes rêves, je vais gagner *hic*;;;;;;;;;;;;;;;;;;;
SYR_DRUNK;Syrdon;Pourquoi j'ai fait ça...;;;;;;;;;;;;;;;;;;;
MED_DRUNK;Medhiv;Tu sais ... j'ai rarement vu une guerrière aussi douée que toi *hic*;;;;;;;;;;;;;;;;;;;
DIY_DRUNK;Diya;Et moi je suis contente d'avoir le mage le plus puissant du continent comme chef de groupe *hic*;;;;;;;;;;;;;;;;;;;
SYR_DRUNK;Syrdon;Qu'est ce qu'il vous arrive les gars ? Vous êtes déjà cuit ?;;;;;;;;;;;;;;;;;;;
MED_DRUNK;Medhiv;Tu peux parler, t'as perdu aux deuxième verre;;;;;;;;;;;;;;;;;;;
DIY_DRUNK;Diya;Il a jamais su tenir l'alcool;;;;;;;;;;;;;;;;;;;
SYR_DRUNK;Syrdon;Mon point fort c'est la chanson, pas l'hydromel !;;;;10;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
