ID;Character;FR;EN;Sound;Anim;Player Choice ?;Timer ? (en sec);;;;;;;;;;;;;;
PLAYER;Player;Et encore un !;;;;;;;;;;;;;;;;;;;
MED_DRINK;Medhiv;Je crois que je vais...;;;;;;;;;;;;;;;;;;;
MED_COMEOUT;Medhiv;*tombe*;;;;;;;;;;;;;;;;;;;
DIY_HAPPY;Diya;AHAH ! J'AI GAGNÉE !;;;;;;;;;;;;;;;;;;;
SYR_YAWN;Syrdon;Je vais encore devoir le trainer jusqu'à la chambre;;;;;;;;;;;;;;;;;;;
DIY_COMEOUT;;;;;;;;;;;;;;;;;;;;;
SYR_COMEOUT;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Le lendemain...;;;;;;;;;;;;;;;;;;;
MED_COMEIN;;;;;;;;;;;;;;;;;;;;;
DIY_COMEIN;;;;;;;;;;;;;;;;;;;;;
SYR_COMEIN;;;;;;;;;;;;;;;;;;;;;
MED_HAPPY;Medhiv;Quelle soirée ! Il est temps de reprendre les choses sérieuses.;;;;;;;;;;;;;;;;;;;
MED_CALM;Medhiv;Une quête interssante à nous donner tavernier ?;;;;;;;;;;;;;;;;;;;
DIY_SURPRISE;Diya;A peine debout et tu veux déjà te battre;;;;;;;;;;;;;;;;;;;
DIY_CALM;Diya;Tu dois payer la tournée d'hier après tout;;;;;;;;;;;;;;;;;;;
SYR_HAPPY;Syrdon;J'espère qu'on reviendra vivant;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Heureux que vous me demandiez cela !;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Il y a un dragon qui rôde dans Frostfell, la ville a besoin de vous.;;;;;;;;;;;;;;;;;;;
MED_CALM;Medhiv;Le premier qui ramène sa tête obtient la prime !;;;;;;;;;;;;;;;;;;;
DIY_CALM;Diya;Comme si tu pouvais tuer un dragon tout seul !;;;;;;;;;;;;;;;;;;;
SYR_HYPE;Syrdon;C'est l'heure de resssortir mon luth !;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
